pmid,year,score,n_chunks,title
37697204,2023,0.4385,2,Evolution of Cross-Sectional Survey Protocol Quality Over Time: A Case Series of Index U.S. REMS Knowledge Survey Protocols (2007-2020).
37658281,2023,0.5563,2,Duration of Effectiveness Evaluation of Additional Risk Minimisation Measures for Centrally Authorised Medicinal Products in the EU Between 2012 and 2021.
37651085,2023,0.4144,2,Real-World Safety and Effectiveness of Fluticasone Furoate/Vilanterol in Patients with Asthma and/or Chronic Obstructive Pulmonary Disease: A Post-Marketing Study in Korea.
37651084,2023,0.4679,2,Development of a Framework Structuring Themes in the Course of Adverse Drug Reactions from a Patient's Perspective.
37556109,2023,0.2796,3,Adverse Events Following the BNT162b2 mRNA COVID-19 Vaccine (Pfizer-BioNTech) in Aotearoa New Zealand.
37552439,2023,0.3765,2,Clinical Guidance on the Monitoring and Management of Trastuzumab Deruxtecan (T-DXd)-Related Adverse Events: Insights from an Asia-Pacific Multidisciplinary Panel.
37552438,2023,0.6106,3,Comparative Safety Surveillance of Triple (IDA) Versus Dual Therapy (DA) in Mass Drug Administration for Elimination of Lymphatic Filariasis in Kenya: A Cohort Event Monitoring Study.
37535258,2023,0.5802,2,"Finding Needles in the Haystack: Clinical Utility Score for Prioritisation (CUSP), an Automated Approach for Identifying Spontaneous Reports with the Highest Clinical Utility."
37531074,2023,0.5365,2,Use of Bisphosphonates and the Risk of Skin Ulcer: A National Cohort Study Using Data from the French Health Care Claims Database.
37505401,2023,0.4410,2,The QTc-Bazett Interval in Former Very Preterm Infants in Adolescence and Young Adulthood is Not Different from Term-Born Controls.
37490213,2023,0.3954,2,Managing Cardiovascular and Cancer Risk Associated with JAK Inhibitors.
37421568,2023,0.4975,2,Mapping Strategies to Assess and Increase the Validity of Published Disproportionality Signals: A Meta-Research Study.
37418089,2023,0.5265,2,Disproportionality Analysis of Abemaciclib in the FDA Adverse Event Reporting System: A Real-World Post-Marketing Pharmacovigilance Assessment.
37378806,2023,0.3980,2,Safety and Tolerability of Intravenous Immunoglobulin in Chronic Inflammatory Demyelinating Polyneuropathy: Results of the ProCID Study.
37341925,2023,0.3088,1,Cardiovascular Toxicity of Immune Checkpoint Inhibitors: A Guide for Clinicians.
37340238,2023,0.6697,1,Use of Electronic Health Record Data for Drug Safety Signal Identification: A Scoping Review.
37338799,2023,0.3656,2,"Provision and Characterization of a Corpus for Pharmaceutical, Biomedical Named Entity Recognition for Pharmacovigilance: Evaluation of Language Registers and Training Data Sufficiency."
37335465,2023,0.5118,3,"Hospitalisations Related to Adverse Drug Reactions in Switzerland in 2012-2019: Characteristics, In-Hospital Mortality, and Spontaneous Reporting Rate."
37330415,2023,0.5227,3,Automatic Extraction of Comprehensive Drug Safety Information from Adverse Drug Event Narratives in the Korea Adverse Event Reporting System Using Natural Language Processing Techniques.
37328600,2023,0.2402,2,Serially Combining Epidemiological Designs Does Not Improve Overall Signal Detection in Vaccine Safety Surveillance.
37310614,2023,0.2773,2,Nephrotoxicity of Amoxicillin and Third-Generation Cephalosporins: An Updated Review.
37300636,2023,0.4036,3,Developing an Artificial Intelligence-Guided Signal Detection in the Food and Drug Administration Adverse Event Reporting System (FAERS): A Proof-of-Concept Study Using Galcanezumab and Simulated Data.
37294532,2023,0.4475,3,Impact of 2018 EU Risk Minimisation Measures and Revised Pregnancy Prevention Programme on Utilisation and Prescribing Trends of Medicinal Products Containing Valproate: An Interrupted Time Series Study.
37277678,2023,0.5857,2,Factors Associated with Underreporting of Adverse Drug Reactions by Health Care Professionals: A Systematic Review Update.
37266905,2023,0.6118,3,Sustained Decline of Direct General Practitioner Reporting of Adverse Drug Reactions in Australia and Paucity in Details of Australian Reports in Safety Advisories.
37243963,2023,0.5897,2,Development and Application of an Active Pharmacovigilance Framework Based on Electronic Healthcare Records from Multiple Centers in Korea.
37223847,2023,0.4618,2,Expert Consensus on the Nephrotoxic Potential of 195 Medications in the Non-intensive Care Setting: A Modified Delphi Method.
37195560,2023,0.4006,2,"Safety and Effectiveness of Rasagiline in Chinese Patients with Parkinson's Disease: A Prospective, Multicenter, Non-interventional Post-marketing Study."
37133805,2023,0.2831,4,Long-Term Safety Analysis of the ChAdOx1-nCoV-19 Corona Virus Vaccine: Results from a Prospective Observational Study in Priority Vaccinated Groups in North India.
37131014,2023,0.4435,2,The Effect of Metformin on Chemotherapy-Induced Toxicities in Non-diabetic Breast Cancer Patients: A Randomised Controlled Study.
37131013,2023,0.5320,2,Impact of Lifestyle and Socioeconomic Position on the Association Between Non-steroidal Anti-inflammatory Drug Use and Major Adverse Cardiovascular Events: A Case-Crossover Study.
37131012,2023,0.5655,2,Identifying Safety Subgroups at Risk: Assessing the Agreement Between Statistical Alerting and Patient Subgroup Risk.
37106270,2023,0.4047,4,Cardiovascular Toxicities Associated with Anaplastic Lymphoma Kinase Inhibitors: A Disproportionality Analysis of the WHO Pharmacovigilance Database (VigiBase).
37103643,2023,0.4651,2,Safety of COVID-19 Vaccines Among the Paediatric Population: Analysis of the European Surveillance Systems and Pivotal Clinical Trials.
37099261,2023,0.4192,3,"Prenatal exposure to pregabalin, birth outcomes and neurodevelopment - a population-based cohort study in four Nordic countries."
37097426,2023,0.5771,2,Facilitators and Barriers to Uptake of the Med Safety Mobile App for Adverse Drug Reaction Reporting by Health Workers in Uganda: A Qualitative Study.
37087706,2023,0.3541,2,Maternal and Early-Life Exposure to Antibiotics and the Risk of Autism and Attention-Deficit Hyperactivity Disorder in Childhood: a Swedish Population-Based Cohort Study.
37087705,2023,0.5141,2,Quality of MedDRA® Coding in a Sample of COVID-19 Vaccine Medication Error Data.
37076609,2023,0.5711,2,Prevalence and Preventability of Adverse Medicine Events in a Sample of Australian Aged-Care Residents: A Secondary Analysis of Data from the ReMInDAR Trial.
37074598,2023,0.3034,2,"Implications of Non-Specific Effects for Testing, Approving, and Regulating Vaccines."
37046156,2023,0.6106,2,Drug-Drug Interactions and the Risk of Emergency Hospitalizations: A Nationwide Population-Based Study.
37043168,2023,0.2103,2,Validation of an ICD-9-Based Algorithm to Identify Stillbirth Episodes from Medicaid Claims Data.
37040044,2023,0.4384,2,"Real-World Monitoring of COVID-19 Vaccines: An Industry Expert View on the Successes, Challenges, and Future Opportunities."
37024736,2023,0.4183,3,Cohort Event Monitoring of Adverse Reactions to COVID-19 Vaccines in Seven European Countries: Pooled Results on First Dose.
36976448,2023,0.5246,2,Impact of European Union Label Changes for Fluoroquinolone-Containing Medicinal Products for Systemic and Inhalation Use: Post-Referral Prescribing Trends.
36976447,2023,0.5696,2,Core Data Elements for Pregnancy Pharmacovigilance Studies Using Primary Source Data Collection Methods: Recommendations from the IMI ConcePTION Project.
36828947,2023,0.3213,2,Early Detection of Adverse Drug Reaction Signals by Association Rule Mining Using Large-Scale Administrative Claims Data.
36826707,2023,0.4468,3,Use of Structured Electronic Health Records Data Elements for the Development of Computable Phenotypes to Identify Potential Adverse Events Associated with Intravenous Immunoglobulin Infusion.
36811814,2023,0.5462,2,Preventable Deaths Involving Medicines: A Systematic Case Series of Coroners' Reports 2013-22.
36811813,2023,0.3973,2,Adverse Events to SARS-CoV-2 (COVID-19) Vaccines and Policy Considerations that Inform the Funding of Safety Surveillance in Low- and Middle-Income Countries: A Mixed Methods Study.
36790561,2023,0.5641,3,Is PEGylation of Drugs Associated with Hypersensitivity Reactions? An Analysis of the Italian National Spontaneous Adverse Drug Reaction Reporting System.
36790560,2023,0.5499,3,What Factors Make EU Regulators Want to Communicate Drug Safety Issues Related to SGLT2 Inhibitors? An Online Survey Study.
36689131,2023,0.5389,2,Deliberate Self-Poisoning: Real-Time Characterization of Suicidal Habits and Toxidromes in the Food and Drug Administration Adverse Event Reporting System.
36682012,2023,0.2750,2,The COVID-19 Vaccines International Pregnancy Exposure Registry (C-VIPER): Protocol and Methodological Considerations.
36656445,2023,0.2946,2,"Development and Validation of ICD-10-CM-based Algorithms for Date of Last Menstrual Period, Pregnancy Outcomes, and Infant Outcomes."
36642778,2023,0.3795,3,Comparative Safety Analysis of Opioid Agonist Treatment in Pregnant Women with Opioid Use Disorder: A Population-Based Study.
36583828,2023,0.5485,2,Post-Authorization Safety Studies of Acute Liver Injury and Severe Complications of Urinary Tract Infection in Patients with Type 2 Diabetes Exposed to Dapagliflozin in a Real-World Setting.
36565374,2023,0.3930,3,Individual Case Safety Report Replication: An Analysis of Case Reporting Transmission Networks.
36562942,2023,0.4273,3,Effect of Previous Anticoagulant Treatment on Risk of COVID-19.
36547811,2023,0.5143,3,"Assessment of the Frequency, Phenotypes, and Outcomes of Acute Liver Injury Associated with Amoxicillin/Clavulanate in 1.4 Million Patients in the Veterans Health Administration."
36538238,2023,0.2751,2,Should Antidepressants be Avoided in Pregnancy?
36528670,2023,0.5217,3,Post-Authorization Safety Study of Hospitalization for Acute Kidney Injury in Patients with Type 2 Diabetes Exposed to Dapagliflozin in a Real-World Setting.
36522578,2023,0.5114,2,Colchicine Drug Interaction Errors and Misunderstandings: Recommendations for Improved Evidence-Based Management.
36517664,2023,0.4038,2,Mortality in Patients with Parkinson's Disease-Related Psychosis Treated with Pimavanserin Compared with Other Atypical Antipsychotics: A Cohort Study.
36469249,2023,0.5208,3,Signals of Adverse Drug Reactions Communicated by Pharmacovigilance Stakeholders: A Scoping Review of the Global Literature.
36460854,2023,0.5427,2,The Food and Drug Administration's (FDA's) Drug Safety Surveillance During the COVID-19 Pandemic.
36459374,2023,0.4933,2,"Weight Gain During Antipsychotic Treatment in Children, Adolescents, and Adults: A Disproportionality Analysis in the Global Pharmacovigilance Database, Vigibase®."
36400895,2022,0.5726,3,"Withdrawal Syndrome Following Discontinuation of 28 Antidepressants: Pharmacovigilance Analysis of 31,688 Reports from the WHO Spontaneous Reporting Database."
36396894,2023,0.4439,3,Development and Evaluation of the Algorithm CErtaInty Tool (ACE-IT) to Assess Electronic Medical Record and Claims-based Algorithms' Fit for Purpose for Safety Outcomes.
36369457,2023,0.5724,2,Potential Risk Factors of Drug-Related Problems in Hospital-Based Mental Health Units: A Systematic Review.
36369456,2023,0.3947,3,Fully Liquid MenACWY-CRM Vaccine: Results from an Integrated Safety Analysis.
36350465,2023,0.3038,2,Optimizing Safety Surveillance for COVID-19 Vaccines at the National Pharmacovigilance Centre Lareb: One Year of COVID-19 Vaccine Experience.
36319944,2022,0.5604,3,Detectability of Medication Errors With a STOPP/START-Based Medication Review in Older People Prior to a Potentially Preventable Drug-Related Hospital Admission.
36318419,2022,0.4953,2,Topiramate Utilization After Phentermine/Topiramate Approval for Obesity Management: Risk Minimization in the Era of Drug Repurposing.
36310331,2022,0.3205,2,Characterization of Serous Retinopathy Associated with Cobimetinib: Integrated Safety Analysis of Four Studies.
36289137,2023,0.3819,3,A Population-Based Study of SGLT2 Inhibitor-Associated Postoperative Diabetic Ketoacidosis in Patients with Type 2 Diabetes.
36287388,2023,0.5202,2,Compliance with Prescribing and Dispensing Conditions for Valproate and Related Substances in Girls and Women of Childbearing Potential: A Survey of Community Pharmacists in France.
36273375,2022,0.5054,2,Comparison of the MOdified NARanjo Causality Scale (MONARCSi) for Individual Case Safety Reports vs. a Reference Standard.
36227528,2022,0.4773,2,Gastrointestinal Bleeding on Oral Anticoagulation: What is Currently Known.
36198930,2022,0.4553,2,Network Analysis for Signal Detection in Spontaneous Adverse Event Reporting Database: Application of Network Weighting Normalization to Characterize Cardiovascular Drug Safety.
36192535,2022,0.5341,2,"Prevalence, Causes and Severity of Medication Administration Errors in the Neonatal Intensive Care Unit: A Systematic Review and Meta-Analysis."
36184720,2022,0.3155,2,mRNA (BNT162b2) and Inactivated (CoronaVac) COVID-19 Vaccination and Risk of Adverse Events and Acute Diabetic Complications in Patients with Type 2 Diabetes Mellitus: A Population-Based Study.
36151359,2022,0.4798,2,Safety of Apremilast in Patients with Psoriasis and Psoriatic Arthritis: Findings from the UK Clinical Practice Research Datalink.
36131124,2022,0.5854,2,Lost in Translation: A Multilingual Survey of Interlinguistic Variations in Terms Used in Pharmacovigilance.
36127547,2022,0.6126,3,"Medicine-Induced Acute Kidney Injury Findings from Spontaneous Reporting Systems, Sequence Symmetry Analysis and a Case-Control Study with a Focus on Medicines Used in Primary Care."
36121557,2022,0.5218,2,Efficacy and Safety of Anticoagulants in Patients with Atrial Fibrillation and History of Falls or Risk of Falls: A Systematic Review and Multilevel Meta-Analysis.
36112324,2022,0.5922,2,"Pediatric Drug Safety Surveillance: A 10-Year Analysis of Adverse Drug Reaction Reporting Data in Calabria, Southern Italy."
36107383,2022,0.4899,2,Factors Influencing Preferences and Responses Towards Drug Safety Communications: A Conjoint Experiment Among Hospital-Based Healthcare Professionals in the Netherlands.
36068430,2022,0.3343,2,High-Dose Intravenous Iron with Either Ferric Carboxymaltose or Ferric Derisomaltose: A Benefit-Risk Assessment.
36030299,2022,0.3861,2,A Prospective Observational Study on BBV152 Coronavirus Vaccine Use in Adolescents and Comparison with Adults: Interim Results of the First Real-World Safety Analysis.
36008634,2022,0.5084,2,Factors Contributing to Best Practices for Patient Involvement in Pharmacovigilance in Europe: A Stakeholder Analysis.
36006605,2022,0.4035,2,Therapeutic Management of Idiosyncratic Drug-Induced Liver Injury and Acetaminophen Hepatotoxicity in the Paediatric Population: A Systematic Review.
36001288,2022,0.4116,3,Prescribing Patterns of Codeine and Alternative Medicines in Children in Europe.
35978219,2022,0.5665,2,Analytical Approaches to Reduce Selection Bias in As-Treated Analyses with Missing In-Hospital Drug Information.
35972651,2022,0.4067,2,"Impact of Vaccine Hesitancy on Onset, Severity and Type of Self-reported Adverse Events: A French Cross-Sectional Survey."
35947343,2022,0.4072,2,Use of Electrocardiogram Monitoring in Adult Patients Taking High-Risk QT Interval Prolonging Medicines in Clinical Practice: Systematic Review and Meta-analysis.
35933649,2022,0.4283,2,Patient-Reported Reasons for Switching or Discontinuing Statin Therapy: A Mixed Methods Study Using Social Media.
35927605,2022,0.3616,2,Assessing Case Fatality on Cases of Thrombosis with Concurrent Thrombocytopenia Following COVID-19 Vaccine AstraZeneca (Vaxzevria) in the United Kingdom: A Review of Spontaneously Reported Data.
35909207,2022,0.5242,3,Cardiovascular Risks of Diclofenac Versus Other Older COX-2 Inhibitors (Meloxicam and Etodolac) and Newer COX-2 Inhibitors (Celecoxib and Etoricoxib): A Series of Nationwide Emulated Trials.
35908149,2022,0.3866,2,Differences in the Recurrence Rate of Immediate Adverse Drug Reactions According to the Components of Alternative Contrast Media: Analysis of Repetitive Computed Tomography Cases in a Single Tertiary Hospital.
35895225,2022,0.5211,2,A Review of Causal Inference for External Comparator Arm Studies.
35857191,2022,0.4618,3,Anti-tumor Necrosis Factor-Alpha Therapy and Hypoglycemia: A Real-World Pharmacovigilance Analysis.
35841469,2022,0.4583,2,"Impact of Policy Interventions on Oxycodone Prescribing in Queensland, Australia: An Uncontrolled Interrupted Time Series Study."
35840802,2022,0.3376,1,BAHAMA: A Bayesian Hierarchical Model for the Detection of MedDRA®-Coded Adverse Events in Randomized Controlled Trials.
35838875,2022,0.5181,2,Developing Strategic Recommendations for Implementing Smart Pumps in Advanced Healthcare Systems to Improve Intravenous Medication Safety.
35834155,2022,0.5667,3,A Disproportionality Analysis of Drug-Drug Interactions of Tizanidine and CYP1A2 Inhibitors from the FDA Adverse Event Reporting System (FAERS).
35831683,2022,0.4015,3,Kidney Damage and Stress Biomarkers for Early Identification of Drug-Induced Kidney Injury: A Systematic Review.
35829913,2022,0.5784,3,Post-Marketing Surveillance of CAR-T-Cell Therapies: Analysis of the FDA Adverse Event Reporting System (FAERS) Database.
35821561,2022,0.6169,2,Safety-Related Drug Withdrawals in China Between 1999 and 2021: A Systematic Investigation and Analysis.
35819751,2022,0.5174,2,Safety of Praziquantel and Albendazole Coadministration for the Control and Elimination of Schistosomiasis and Soil-Transmitted Helminths Among Children in Rwanda: An Active Surveillance Study.
35810265,2022,0.4890,2,Hip Fracture Risk After Treatment with Tramadol or Codeine: An Observational Study.
35794349,2022,0.4736,2,Combining Machine Learning with a Rule-Based Algorithm to Detect and Identify Related Entities of Documented Adverse Drug Reactions on Hospital Discharge Summaries.
35788539,2022,0.5100,2,"Prevalence of Use of Traditional, Complementary and Alternative Medicine by the General Population: A Systematic Review of National Studies Published from 2010 to 2019."
35788538,2022,0.4013,1,Pancreas and Adverse Drug Reactions: A Literature Review.
35788537,2022,0.5382,2,Short-Term Risk of Unintentional Poisoning After New Initiation of Central Nervous System Medications in Swedish Older Adults: A Register-Based Case-Crossover Study.
35761158,2022,0.5214,2,Incidence of Acute Renal Failure in Patients Using Levetiracetam Versus Other Antiseizure Medications: A Voluntary Post-Authorization Safety Study.
35737293,2022,0.2884,2,Signaling COVID-19 Vaccine Adverse Events.
35737292,2022,0.5570,2,Quantitative Prediction of Adverse Event Probability Due to Pharmacokinetic Interactions.
35729468,2022,0.5879,2,Collection of Data on Adverse Events Related to Medicinal Products: A Survey Among Registries in the ENCePP Resources Database.
35653017,2022,0.2562,2,Phenotype Algorithms for the Identification and Characterization of Vaccine-Induced Thrombotic Thrombocytopenia in Real World Data: A Multinational Network Cohort Study.
35650509,2022,0.4588,2,Montelukast and Nightmares: Further Characterisation Using Data from VigiBase.
35641849,2022,0.3150,1,"Incidence, Pathogenesis, and Management of Proton Pump Inhibitor-Induced Nephrotoxicity."
35610460,2022,0.4882,2,Amyotrophic Lateral Sclerosis as an Adverse Drug Reaction: A Disproportionality Analysis of the Food and Drug Administration Adverse Event Reporting System.
35608783,2022,0.6101,2,Analysis of Reports on Adverse Drug Reactions Related to Herbal Medicinal Products and Herbal Supplements in the Netherlands Received by the National Pharmacovigilance Centre Lareb.
35606623,2022,0.2767,2,"Chemobrain in Breast Cancer: Mechanisms, Clinical Manifestations, and Potential Interventions."
35579820,2022,0.4304,2,Supervised Machine Learning-Based Decision Support for Signal Validation Classification.
35579819,2022,0.5056,2,Leveraging Machine Learning to Facilitate Individual Case Causality Assessment of Adverse Drug Reactions.
35579818,2022,0.3496,3,Using Iterative Pairwise External Validation to Contextualize Prediction Model Performance: A Use Case Predicting 1-Year Heart Failure Risk in Patients with Diabetes Across Five Data Sources.
35579817,2022,0.4403,2,Automated Drug Coding Using Artificial Intelligence: An Evaluation of WHODrug Koda on Adverse Event Reports.
35579816,2022,0.5223,3,"Validation of Artificial Intelligence to Support the Automatic Coding of Patient Adverse Drug Reaction Reports, Using Nationwide Pharmacovigilance Data."
35579815,2022,0.4529,2,Identifying and Mitigating Potential Biases in Predicting Drug Approvals.
35579814,2022,0.4061,1,Artificial Intelligence-Based Pharmacovigilance in the Setting of Limited Resources.
35579813,2022,0.3790,2,"Applying Machine Learning in Distributed Data Networks for Pharmacoepidemiologic and Pharmacovigilance Studies: Opportunities, Challenges, and Considerations."
35579812,2022,0.4773,2,Artificial Intelligence Based on Machine Learning in Pharmacovigilance: A Scoping Review.
35579811,2022,0.4626,2,Machine Learning in Causal Inference: Application in Pharmacovigilance.
35579810,2022,0.3632,1,Intelligent Telehealth in Pharmacovigilance: A Future Perspective.
35579809,2022,0.3021,1,Industry Perspective on Artificial Intelligence/Machine Learning in Pharmacovigilance.
35579808,2022,0.3850,2,"""Artificial Intelligence"" for Pharmacovigilance: Ready for Prime Time?"
35579807,2022,0.3709,2,Black Swan Events and Intelligent Automation for Routine Safety Surveillance.
35579806,2022,0.2464,2,"Artificial Intelligence in Pharmacovigilance: An Introduction to Terms, Concepts, Applications, and Limitations."
35579805,2022,0.4805,1,Artificial Intelligence and Machine Learning for Safe Medicines.
35438459,2022,0.4864,2,Hydroxyzine Initiation Following Drug Safety Advisories on Cardiac Arrhythmias in the UK and Canada: A Longitudinal Cohort Study.
35389144,2022,0.5021,2,Consensus Obtained for the Nephrotoxic Potential of 167 Drugs in Adult Critically Ill Patients Using a Modified Delphi Method.
35386045,2022,0.4853,2,Drug-Induced Sexual Dysfunction: An Analysis of Reports to a National Pharmacovigilance Database.
35357659,2022,0.5343,2,A Landscape Analysis of Post-Marketing Studies Registered in the EU PAS Register and ClinicalTrials.gov Focusing on Pregnancy Outcomes or Breastfeeding Effects: A Contribution from the ConcePTION Project.
35349127,2022,0.6405,2,Handling of New Drug Safety Information in the Dutch Hospital Setting: A Mixed Methods Approach.
35314943,2022,0.3705,2,Description of Frequencies of Reported Adverse Events Following Immunization Among Four Different COVID-19 Vaccine Brands.
35305263,2022,0.4847,2,Intracranial Hemorrhage Following Anticoagulant Treatment in Denmark: Spontaneous Adverse Drug Reaction Reports Versus Real-World Data.
35298825,2022,0.4636,2,Postoperative Respiratory Events in Surgical Patients Exposed to Opioid Analgesic Shortages Compared to Fully Matched Patients Non-exposed to Shortages.
35297004,2022,0.3713,2,"Pregnancy, Fetal, and Infant Outcomes Following Maternal Exposure to Glatiramer Acetate During Pregnancy and Breastfeeding."
35247195,2022,0.3966,2,Drug-Drug Interaction of the Sodium Glucose Co-Transporter 2 Inhibitors with Statins and Myopathy: A Disproportionality Analysis Using Adverse Events Reporting Data.
35247194,2022,0.4984,2,Improving the Safety of Medicines via Digital Technology: An Assessment of the Scope and Quality of Risk Minimization Websites in the United States and United Kingdom.
35184258,2022,0.4963,2,Impact of Preventive Strategies on Gastrointestinal Complications in Elderly Patients on Concomitant Use of Oral Anticoagulants and Nonsteroidal Anti-Inflammatory Drugs: A Nationwide Cohort Study.
35182362,2022,0.5735,3,New Drug Postmarketing Requirements and Commitments in the US: A Systematic Review of the Evidence.
35179705,2022,0.4242,2,Cannabinoid-Related Acute Pancreatitis: An Update from International Literature and Individual Case Safety Reports.
35179704,2022,0.5408,2,High-Dimensional Propensity Score-Adjusted Case-Crossover for Discovering Adverse Drug Reactions from Computerized Administrative Healthcare Databases.
35113347,2022,0.7065,2,Sources of Evidence Triggering and Supporting Safety-Related Labeling Changes: A 10-Year Longitudinal Assessment of 22 New Molecular Entities Approved in 2008 by the US Food and Drug Administration.
35089582,2022,0.4989,2,The Extent of Medication-Related Hospital Admissions in Australia: A Review from 1988 to 2021.
35066803,2022,0.4883,3,"Sales of Over-the-Counter Products Containing Codeine in 31 Countries, 2013-2019: A Retrospective Observational Study."
35064899,2022,0.3498,2,Spontaneous Reporting to Regulatory Authorities of Suspected Adverse Drug Reactions to COVID-19 Vaccines Over Time: The Effect of Publicity.
35044637,2022,0.4188,2,β-Blockers and the Risk of Depression: A Matched Case-Control Study.
35025085,2022,0.3441,2,Cancer Chemotherapy-Induced Sinus Bradycardia: A Narrative Review of a Forgotten Adverse Effect of Cardiotoxicity.
35020178,2022,0.4892,2,Post-Marketing Safety Profile of Vortioxetine Using a Cluster Analysis and a Disproportionality Analysis of Global Adverse Event Reports.
35020177,2022,0.5643,3,"Use of Identical INN ""Imiglucerase"" for Different Drug Products: Impact Analysis of Adverse Events in a Proprietary Global Safety Database."
35015268,2022,0.3423,2,Review of Over 15 Years Postmarketing Safety Surveillance Spontaneous Data for the Human Rotavirus Vaccine (Rotarix) on Intussusception.
34932206,2022,0.5571,2,Patient Safety Incidents Related to the Use of Parenteral Nutrition in All Patient Groups: A Systematic Scoping Review.
34928484,2022,0.5055,2,"RELAY, Ramucirumab Plus Erlotinib Versus Placebo Plus Erlotinib in Patients with Untreated, Epidermal Growth Factor Receptor Mutation-Positive, Metastatic Non-Small-Cell Lung Cancer: Safety Profile and Manageability."
34881404,2022,0.5801,2,The Impact of Mandatory Reporting of Non-Serious Safety Reports to EudraVigilance on the Detection of Adverse Reactions.
34846701,2022,0.2929,2,A Review on Application of DNA Barcoding Technology for Rapid Molecular Diagnostics of Adulterants in Herbal Medicine.
34766251,2022,0.3771,2,Hybrid Method Incorporating a Rule-Based Approach and Deep Learning for Prescription Error Prediction.
34748199,2022,0.4969,3,The Risk of Preoperative Central Nervous System-Acting Medications on Delirium Following Hip or Knee Surgery: A Matched Case-Control Study.
34741752,2021,0.5056,2,"Mechanisms, Management and Prevention of Pemetrexed-Related Toxicity."
34739716,2021,0.3908,1,"COVID-19 Vaccination in Pregnancy, Paediatrics, Immunocompromised Patients, and Persons with History of Allergy or Prior SARS-CoV-2 Infection: Overview of Current Recommendations and Pre- and Post-Marketing Evidence for Vaccine Efficacy and Safety."
34716562,2022,0.4988,2,Safety of Intravenous Push Levetiracetam Compared to Intravenous Piggyback at a Tertiary Academic Medical Center: A Retrospective Analysis.
34714529,2022,0.4575,2,A 13-Year National Monitoring Study to Assess Narcotic Prescriptions and Indications (2007-2019).
34714528,2022,0.4193,2,Renin-Angiotensin-Aldosterone System Inhibitors and Risk of Acute Pancreatitis: A Population-Based Cohort Study.
34699023,2021,0.4842,2,Repeated or Continuous Medically Supervised Ketamine Administration Associated with Hepatobiliary Adverse Events: A Retrospective Case Series.
34694589,2021,0.3861,2,"Safety Profile of GSK's Inactivated Quadrivalent Seasonal Influenza Vaccine in Belgium, Germany and Spain: Passive Enhanced Safety Surveillance Study for the 2019/2020 Influenza Season."
34687446,2021,0.3899,3,"Long-Term Safety and Tolerability of Fremanezumab for Migraine Preventive Treatment in Japanese Outpatients: A Multicenter, Randomized, Open-Label Study."
34674190,2021,0.4254,2,Identifying Actionability as a Key Factor for the Adoption of 'Intelligent' Systems for Drug Safety: Lessons Learned from a User-Centred Design Approach.
34623626,2021,0.4336,2,The Effectiveness and Value of Written Medicine Information Across Asia and Africa: Systematic Review.
34622421,2021,0.2558,2,An Analysis of Spontaneously Reported Data of Vesicular and Bullous Cutaneous Eruptions Occurring Following Vaccination with the Adjuvanted Recombinant Zoster Vaccine.
34613596,2021,0.5406,2,Dispensing of Potentially Harmful Prescription Drugs in 1.8 Million Pregnant Women in France: A Nationwide Study Based on Two Risk Classification Systems.
34609720,2021,0.3941,2,Maternal Complications and Prescription Opioid Exposure During Pregnancy: Using Marginal Structural Models.
34609719,2021,0.3970,2,"Desloratadine Exposure and Incidence of Seizure: A Nordic Post-authorization Safety Study Using a New-User Cohort Study Design, 2001-2015."
34606062,2021,0.4210,2,Role of Drug-Gene Interactions and Pharmacogenetics in Simvastatin-Associated Pulmonary Toxicity.
34591264,2021,0.3080,2,Validating Claims-Based Algorithms Determining Pregnancy Outcomes and Gestational Age Using a Linked Claims-Electronic Medical Record Database.
34564829,2021,0.3683,2,Renal Safety of Hydroxyethyl starch 130/0.42 After Cardiac Surgery: A Retrospective Cohort Analysis.
34536187,2021,0.5305,3,Safety of Eslicarbazepine Acetate in Elderly Versus Non-Elderly Patients with Focal Seizures: From Pooled Data of Clinical Studies to 8 Years of Post-Marketing Experience.
34533782,2021,0.4493,2,Drug-Induced Liver Injury: Highlights and Controversies in the Recent Literature.
34528215,2021,0.6185,2,"Systematising Pharmacovigilance Engagement of Patients, Healthcare Professionals and Regulators: A Practical Decision Guide Derived from the International Risk Governance Framework for Engagement Events and Discourse."
34510389,2021,0.3861,2,Drug-Related Problems in Hospitalised Patients with Chronic Kidney Disease: A Systematic Review.
34498210,2021,0.6250,2,Surveillance of Antidepressant Safety (SADS): Active Signal Detection of Serious Medical Events Following SSRI and SNRI Initiation Using Big Healthcare Data.
34472048,2021,0.6077,1,"Eritrean Pharmacovigilance System: Key Strategies, Success Stories, Challenges and Lessons Learned."
34383289,2021,0.4294,2,Clinical Trial and Postmarketing Safety of Onasemnogene Abeparvovec Therapy.
34374967,2021,0.5158,2,Remdesivir in the COVID-19 Pandemic: An Analysis of Spontaneous Reports in VigiBase During 2020.
34368940,2021,0.5015,3,"Motives to Report Adverse Drug Reactions to the National Agency: A Survey Study among Healthcare Professionals and Patients in Croatia, The Netherlands, and the UK."
34347278,2021,0.3187,2,Cumulative Adverse Event Reporting of Anaphylaxis After mRNA COVID-19 Vaccine (Pfizer-BioNTech) Injections in Japan: The First-Month Report.
34339037,2021,0.4929,2,NSAIDs and COVID-19: A Systematic Review and Meta-analysis.
